# RMS Resistor Voltage (mV)
# Lock-In Voltage (mV)
# Keithly Voltage DC (mV)
# Audio Amp
397	531.7	58.46	0.9
375	457.4	58.32	0.8
336	411.5	58.17	0.7
288	350.5	58.07	0.6
235	285.3	57.98	0.5
184	222.6	57.88	0.4
141	170.2	57.81	0.3
90	107.8	57.75	0.2
33.5	40.1	57.76	0.1
