Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.60
Upper Discriminator:	1035
Lower Discriminator:	14
Calibration Coefficients:	0.40125391849529635	0.987460815047022
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	9147.3
Elapsed Live Time:	9144.33
Start Time:	March 18, 2024, 11:55:23
End Time:	March 18, 2024, 02:27:50
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.40125391849529635	0
1	1.3887147335423182	0
2	2.37617554858934	0
3	3.3636363636363624	0
4	4.351097178683384	0
5	5.338557993730406	0
6	6.3260188087774285	0
7	7.31347962382445	0
8	8.300940438871471	0
9	9.288401253918494	0
10	10.275862068965516	0
11	11.263322884012538	0
12	12.25078369905956	0
13	13.238244514106583	0
14	14.225705329153604	0
15	15.213166144200626	24
16	16.20062695924765	212
17	17.18808777429467	242
18	18.17554858934169	246
19	19.163009404388713	245
20	20.150470219435736	268
21	21.137931034482758	281
22	22.12539184952978	277
23	23.112852664576803	298
24	24.100313479623825	318
25	25.087774294670847	333
26	26.07523510971787	362
27	27.06269592476489	407
28	28.05015673981191	423
29	29.037617554858933	447
30	30.025078369905955	412
31	31.012539184952978	428
32	32.0	377
33	32.987460815047015	403
34	33.974921630094045	428
35	34.96238244514106	404
36	35.94984326018809	377
37	36.937304075235105	391
38	37.924764890282134	434
39	38.91222570532915	442
40	39.89968652037618	447
41	40.887147335423194	485
42	41.87460815047022	471
43	42.86206896551724	463
44	43.84952978056427	479
45	44.83699059561128	500
46	45.82445141065831	492
47	46.81191222570533	541
48	47.79937304075236	518
49	48.78683385579937	578
50	49.7742946708464	569
51	50.76175548589342	567
52	51.749216300940446	640
53	52.73667711598746	590
54	53.72413793103448	613
55	54.711598746081506	613
56	55.69905956112852	735
57	56.68652037617555	717
58	57.673981191222566	741
59	58.661442006269596	801
60	59.64890282131661	797
61	60.63636363636364	837
62	61.623824451410655	856
63	62.611285266457685	922
64	63.5987460815047	949
65	64.58620689655173	984
66	65.57366771159874	1039
67	66.56112852664577	1024
68	67.54858934169279	1101
69	68.53605015673982	1167
70	69.52351097178683	1171
71	70.51097178683386	1230
72	71.49843260188088	1351
73	72.48589341692791	1388
74	73.47335423197492	1374
75	74.46081504702195	1516
76	75.44827586206897	1566
77	76.435736677116	1623
78	77.42319749216301	1548
79	78.41065830721004	1536
80	79.39811912225706	1532
81	80.38557993730409	1533
82	81.3730407523511	1526
83	82.36050156739813	1429
84	83.34796238244515	1553
85	84.33542319749218	1379
86	85.32288401253919	1406
87	86.3103448275862	1387
88	87.29780564263324	1369
89	88.28526645768025	1382
90	89.27272727272728	1377
91	90.2601880877743	1343
92	91.24764890282133	1338
93	92.23510971786834	1303
94	93.22257053291537	1366
95	94.21003134796238	1305
96	95.19749216300941	1248
97	96.18495297805643	1327
98	97.17241379310346	1222
99	98.15987460815047	1240
100	99.1473354231975	1197
101	100.13479623824452	1199
102	101.12225705329155	1227
103	102.10971786833856	1229
104	103.0971786833856	1204
105	104.08463949843261	1204
106	105.07210031347964	1160
107	106.05956112852665	1207
108	107.04702194357367	1225
