Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

1.0	737.0
1.1	718.0
1.2	660.0
1.3	646.0
1.4	551.0
1.5	532.0
1.6	498.0
1.7	404.0
1.8	293.0
1.9	268.0
2.0	172.0
2.1	148.0
2.2	128.0
2.3	132.0
2.4	148.0
2.5	115.0
2.6	60.0
2.7	11.0
2.8	9.0
2.9	12.0
3.0	8.0
3.1	9.0
3.2	7.0
3.3	4.0
3.4	4.0
3.5	5.0
3.6	6.0
3.7	5.0
3.8	3.0
3.9	3.0
4.0	3.0
4.1	6.0
4.2	8.0
4.3	11.0
4.4	14.0
4.5	19.0
4.6	21.0
4.7	27.0
4.8	35.0
4.9	42.0
5.0	54.0
5.1	61.0
5.2	64.0
5.3	89.0
5.4	109.0
5.5	126.0
5.6	137.0
5.7	157.0
5.8	171.0
5.9	216.0
6.0	217.0
6.1	218.0
6.2	218.0
6.3	231.0
6.4	241.0
6.5	241.0
6.6	271.0
6.7	263.0
6.8	270.0
6.9	280.0
7.0	291.0
7.1	291.0
7.2	297.0
7.3	297.0
7.4	301.0
7.5	308.0
7.6	309.0
7.7	308.0
7.8	308.0
7.9	305.0
8.0	298.0
8.1	307.0
8.2	313.0
8.3	318.0
8.4	312.0
8.5	329.0
8.6	322.0
8.7	317.0
8.8	330.0
8.9	337.0
9.0	334.0
9.1	324.0
9.2	333.0
9.3	327.0
9.4	336.0
9.5	330.0
9.6	343.0
9.7	352.0
9.8	338.0
9.9	336.0
10.0	331.0
10.1	342.0
10.2	331.0
10.3	346.0
10.4	354.0
10.5	334.0
10.6	355.0
10.7	324.0
10.8	346.0
10.9	349.0
11.0	328.0
11.1	348.0
11.2	334.0
11.3	332.0
11.4	339.0
11.5	320.0
11.6	314.0
11.7	311.0
11.8	306.0
11.9	300.0
12.0	279.0
12.1	296.0
12.2	296.0
12.3	291.0
12.4	287.0
12.5	276.0
12.6	278.0
12.7	295.0
12.8	284.0
12.9	270.0
13.0	266.0
13.1	275.0
13.2	251.0
13.3	238.0
13.4	232.0
13.5	220.0
13.6	214.0
13.7	201.0
13.8	181.0
13.9	171.0
14.0	179.0
14.1	180.0
14.2	172.0
14.3	168.0
14.4	168.0
14.5	154.0
14.6	173.0
14.7	153.0
14.8	166.0
14.9	168.0
15.0	154.0
15.1	160.0
15.2	162.0
15.3	162.0
15.4	143.0
15.5	149.0
15.6	144.0
15.7	142.0
15.8	139.0
15.9	144.0
16.0	148.0
16.1	141.0
16.2	139.0
16.3	129.0
16.4	134.0
16.5	123.0
16.6	127.0
16.7	121.0
16.8	125.0
16.9	120.0
17.0	117.0
17.1	122.0
17.2	123.0
17.3	118.0
17.4	118.0
17.5	113.0
17.6	105.0
17.7	109.0
17.8	110.0
17.9	102.0
18.0	96.0
18.1	102.0
18.2	102.0
18.3	100.0
18.4	97.0
18.5	94.0
18.6	92.0
18.7	86.0
18.8	92.0
18.9	89.0
19.0	89.0
19.1	84.0
19.2	82.0
19.3	83.0
19.4	82.0
19.5	80.0
19.6	79.0
19.7	76.0
19.8	72.0
19.9	82.0
20.0	142.0
