Crystal angle	Rate at 15kV
theta/°	R(15kV)/Imp/s

3.5	3.0
3.6	2.0
3.7	1.0
3.8	1.0
3.9	0.0
4.0	1.0
4.1	1.0
4.2	2.0
4.3	1.0
4.4	1.0
4.5	3.0
4.6	1.0
4.7	1.0
4.8	0.0
4.9	0.0
5.0	0.0
5.1	4.0
5.2	0.0
5.3	1.0
5.4	0.0
5.5	0.0
5.6	0.0
5.7	0.0
5.8	0.0
5.9	0.0
6.0	2.0
6.1	1.0
6.2	1.0
6.3	1.0
6.4	0.0
6.5	0.0
6.6	1.0
6.7	0.0
6.8	1.0
6.9	1.0
7.0	0.0
7.1	1.0
7.2	1.0
7.3	1.0
7.4	2.0
7.5	0.0
7.6	1.0
7.7	0.0
7.8	0.0
7.9	2.0
8.0	0.0
8.1	0.0
8.2	1.0
8.3	1.0
8.4	1.0
8.5	1.0
8.6	0.0
8.7	0.0
8.8	0.0
8.9	1.0
9.0	1.0
9.1	0.0
9.2	0.0
9.3	1.0
9.4	0.0
9.5	2.0
9.6	2.0
9.7	1.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	2.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	1.0
10.6	1.0
10.7	5.0
10.8	0.0
10.9	0.0
11.0	2.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	1.0
11.5	1.0
11.6	1.0
11.7	0.0
11.8	1.0
11.9	1.0
12.0	3.0
12.1	7.0
12.2	12.0
12.3	13.0
12.4	20.0
12.5	30.0
12.6	33.0
12.7	50.0
12.8	50.0
12.9	50.0
13.0	49.0
13.1	52.0
13.2	56.0
13.3	59.0
13.4	44.0
13.5	63.0
13.6	53.0
13.7	63.0
13.8	50.0
13.9	47.0
14.0	50.0
14.1	54.0
14.2	61.0
14.3	56.0
14.4	60.0
14.5	75.0
14.6	57.0
14.7	72.0
14.8	63.0
14.9	76.0
15.0	65.0
15.1	58.0
15.2	60.0
15.3	68.0
15.4	57.0
15.5	76.0
15.6	85.0
15.7	69.0
15.8	61.0
15.9	65.0
16.0	69.0
16.1	64.0
16.2	52.0
16.3	59.0
16.4	63.0
16.5	70.0
16.6	56.0
16.7	66.0
16.8	74.0
16.9	49.0
17.0	55.0
17.1	74.0
17.2	53.0
17.3	58.0
17.4	43.0
17.5	67.0
17.6	70.0
17.7	63.0
17.8	65.0
17.9	66.0
18.0	70.0
18.1	67.0
18.2	54.0
18.3	52.0
18.4	58.0
18.5	47.0
18.6	64.0
18.7	39.0
18.8	63.0
18.9	58.0
19.0	42.0
19.1	49.0
19.2	49.0
19.3	50.0
19.4	34.0
19.5	51.0
19.6	45.0
19.7	46.0
19.8	41.0
19.9	46.0
20.0	94.0
20.1	241.0
20.2	368.0
20.3	353.0
20.4	158.0
20.5	76.0
20.6	52.0
20.7	45.0
20.8	43.0
20.9	47.0
21.0	54.0
21.1	29.0
21.2	41.0
21.3	38.0
21.4	39.0
21.5	35.0
21.6	48.0
21.7	27.0
21.8	34.0
21.9	30.0
22.0	25.0
22.1	48.0
22.2	78.0
22.3	214.0
22.4	1144.0
22.5	1307.0
22.6	1047.0
22.7	394.0
22.8	90.0
22.9	45.0
23.0	25.0
23.1	31.0
23.2	25.0
23.3	0.0
23.4	23.0
23.5	30.0
23.6	35.0
23.7	22.0
23.8	31.0
23.9	21.0
24.0	26.0
24.1	20.0
24.2	13.0
24.3	18.0
24.4	25.0
24.5	22.0
24.6	22.0
24.7	13.0
24.8	18.0
24.9	19.0
25.0	12.0
