Crystal angle	Rate at 20kV
theta/°	R(20kV)/Imp/s

3.5	2.0
3.6	4.0
3.7	3.0
3.8	4.0
3.9	0.0
4.0	4.0
4.1	4.0
4.2	1.0
4.3	3.0
4.4	3.0
4.5	2.0
4.6	0.0
4.7	1.0
4.8	2.0
4.9	3.0
5.0	2.0
5.1	1.0
5.2	3.0
5.3	5.0
5.4	0.0
5.5	3.0
5.6	1.0
5.7	0.0
5.8	0.0
5.9	4.0
6.0	2.0
6.1	3.0
6.2	3.0
6.3	2.0
6.4	1.0
6.5	1.0
6.6	2.0
6.7	2.0
6.8	1.0
6.9	1.0
7.0	3.0
7.1	2.0
7.2	2.0
7.3	1.0
7.4	2.0
7.5	0.0
7.6	3.0
7.7	0.0
7.8	2.0
7.9	4.0
8.0	1.0
8.1	1.0
8.2	4.0
8.3	3.0
8.4	2.0
8.5	2.0
8.6	6.0
8.7	3.0
8.8	4.0
8.9	11.0
9.0	18.0
9.1	29.0
9.2	50.0
9.3	57.0
9.4	77.0
9.5	106.0
9.6	103.0
9.7	98.0
9.8	104.0
9.9	140.0
10.0	116.0
10.1	128.0
10.2	136.0
10.3	128.0
10.4	136.0
10.5	158.0
10.6	166.0
10.7	184.0
10.8	170.0
10.9	209.0
11.0	192.0
11.1	191.0
11.2	207.0
11.3	221.0
11.4	208.0
11.5	190.0
11.6	220.0
11.7	193.0
11.8	179.0
11.9	211.0
12.0	214.0
12.1	218.0
12.2	202.0
12.3	231.0
12.4	206.0
12.5	224.0
12.6	181.0
12.7	213.0
12.8	206.0
12.9	217.0
13.0	210.0
13.1	211.0
13.2	206.0
13.3	191.0
13.4	189.0
13.5	172.0
13.6	155.0
13.7	154.0
13.8	151.0
13.9	148.0
14.0	149.0
14.1	156.0
14.2	144.0
14.3	141.0
14.4	128.0
14.5	145.0
14.6	140.0
14.7	149.0
14.8	131.0
14.9	150.0
15.0	146.0
15.1	137.0
15.2	135.0
15.3	152.0
15.4	130.0
15.5	125.0
15.6	133.0
15.7	129.0
15.8	141.0
15.9	132.0
16.0	129.0
16.1	137.0
16.2	112.0
16.3	119.0
16.4	120.0
16.5	104.0
16.6	108.0
16.7	122.0
16.8	123.0
16.9	111.0
17.0	113.0
17.1	112.0
17.2	118.0
17.3	96.0
17.4	109.0
17.5	107.0
17.6	97.0
17.7	96.0
17.8	109.0
17.9	101.0
18.0	131.0
18.1	91.0
18.2	98.0
18.3	104.0
18.4	100.0
18.5	80.0
18.6	85.0
18.7	99.0
18.8	94.0
18.9	67.0
19.0	85.0
19.1	88.0
19.2	87.0
19.3	83.0
19.4	67.0
19.5	65.0
19.6	79.0
19.7	72.0
19.8	74.0
19.9	116.0
20.0	277.0
20.1	717.0
20.2	867.0
20.3	850.0
20.4	352.0
20.5	124.0
20.6	130.0
20.7	113.0
20.8	103.0
20.9	86.0
21.0	74.0
21.1	85.0
21.2	79.0
21.3	71.0
21.4	72.0
21.5	96.0
21.6	72.0
21.7	94.0
21.8	65.0
21.9	80.0
22.0	86.0
22.1	115.0
22.2	269.0
22.3	777.0
22.4	2785.0
22.5	2988.0
22.6	2499.0
22.7	758.0
22.8	180.0
22.9	86.0
23.0	77.0
23.1	72.0
23.2	71.0
23.3	56.0
23.4	56.0
23.5	53.0
23.6	62.0
23.7	52.0
23.8	60.0
23.9	51.0
24.0	49.0
24.1	39.0
24.2	41.0
24.3	45.0
24.4	43.0
24.5	57.0
24.6	37.0
24.7	44.0
24.8	44.0
24.9	39.0
25.0	36.0
