Crystal angle	Rate at 25kV
theta/°	R(25kV)/Imp/s

3.5	6.0
3.6	7.0
3.7	12.0
3.8	5.0
3.9	4.0
4.0	2.0
4.1	3.0
4.2	2.0
4.3	2.0
4.4	7.0
4.5	5.0
4.6	7.0
4.7	5.0
4.8	2.0
4.9	6.0
5.0	5.0
5.1	5.0
5.2	2.0
5.3	5.0
5.4	1.0
5.5	1.0
5.6	2.0
5.7	4.0
5.8	2.0
5.9	4.0
6.0	2.0
6.1	1.0
6.2	5.0
6.3	9.0
6.4	7.0
6.5	14.0
6.6	8.0
6.7	15.0
6.8	18.0
6.9	13.0
7.0	26.0
7.1	23.0
7.2	36.0
7.3	57.0
7.4	81.0
7.5	101.0
7.6	116.0
7.7	138.0
7.8	141.0
7.9	154.0
8.0	193.0
8.1	189.0
8.2	182.0
8.3	211.0
8.4	227.0
8.5	225.0
8.6	236.0
8.7	258.0
8.8	287.0
8.9	263.0
9.0	283.0
9.1	268.0
9.2	304.0
9.3	312.0
9.4	305.0
9.5	306.0
9.6	324.0
9.7	361.0
9.8	314.0
9.9	384.0
10.0	344.0
10.1	332.0
10.2	327.0
10.3	339.0
10.4	372.0
10.5	358.0
10.6	353.0
10.7	410.0
10.8	391.0
10.9	372.0
11.0	402.0
11.1	377.0
11.2	398.0
11.3	384.0
11.4	381.0
11.5	347.0
11.6	366.0
11.7	0.0
11.8	360.0
11.9	339.0
12.0	357.0
12.1	344.0
12.2	360.0
12.3	341.0
12.4	346.0
12.5	304.0
12.6	343.0
12.7	347.0
12.8	322.0
12.9	344.0
13.0	364.0
13.1	328.0
13.2	341.0
13.3	294.0
13.4	281.0
13.5	293.0
13.6	266.0
13.7	258.0
13.8	261.0
13.9	227.0
14.0	201.0
14.1	235.0
14.2	216.0
14.3	218.0
14.4	236.0
14.5	208.0
14.6	189.0
14.7	239.0
14.8	214.0
14.9	200.0
15.0	233.0
15.1	222.0
15.2	216.0
15.3	207.0
15.4	189.0
15.5	196.0
15.6	201.0
15.7	195.0
15.8	200.0
15.9	175.0
16.0	206.0
16.1	204.0
16.2	189.0
16.3	191.0
16.4	163.0
16.5	190.0
16.6	200.0
16.7	180.0
16.8	182.0
16.9	152.0
17.0	192.0
17.1	173.0
17.2	160.0
17.3	186.0
17.4	154.0
17.5	150.0
17.6	147.0
17.7	185.0
17.8	176.0
17.9	142.0
18.0	141.0
18.1	110.0
18.2	143.0
18.3	146.0
18.4	129.0
18.5	142.0
18.6	134.0
18.7	142.0
18.8	136.0
18.9	128.0
19.0	140.0
19.1	118.0
19.2	125.0
19.3	112.0
19.4	121.0
19.5	111.0
19.6	116.0
19.7	118.0
19.8	109.0
19.9	136.0
20.0	388.0
20.1	1051.0
20.2	1470.0
20.3	1400.0
20.4	757.0
20.5	228.0
20.6	147.0
20.7	153.0
20.8	127.0
20.9	138.0
21.0	123.0
21.1	125.0
21.2	121.0
21.3	129.0
21.4	128.0
21.5	141.0
21.6	107.0
21.7	122.0
21.8	118.0
21.9	106.0
22.0	146.0
22.1	159.0
22.2	288.0
22.3	895.0
22.4	4335.0
22.5	4861.0
22.6	3988.0
22.7	1801.0
22.8	478.0
22.9	152.0
23.0	133.0
23.1	120.0
23.2	101.0
23.3	102.0
23.4	100.0
23.5	74.0
23.6	89.0
23.7	91.0
23.8	83.0
23.9	77.0
24.0	86.0
24.1	73.0
24.2	87.0
24.3	77.0
24.4	64.0
24.5	65.0
24.6	89.0
24.7	56.0
24.8	62.0
24.9	75.0
25.0	74.0
