Crystal angle	Rate at 30kV
theta/°	R(30kV)/Imp/s

3.5	40.0
3.6	22.0
3.7	19.0
3.8	21.0
3.9	16.0
4.0	13.0
4.1	7.0
4.2	13.0
4.3	10.0
4.4	6.0
4.5	8.0
4.6	7.0
4.7	6.0
4.8	8.0
4.9	6.0
5.0	11.0
5.1	11.0
5.2	20.0
5.3	20.0
5.4	21.0
5.5	27.0
5.6	40.0
5.7	47.0
5.8	52.0
5.9	66.0
6.0	92.0
6.1	110.0
6.2	144.0
6.3	147.0
6.4	209.0
6.5	228.0
6.6	238.0
6.7	245.0
6.8	300.0
6.9	330.0
7.0	319.0
7.1	299.0
7.2	336.0
7.3	370.0
7.4	399.0
7.5	433.0
7.6	400.0
7.7	391.0
7.8	406.0
7.9	431.0
8.0	414.0
8.1	441.0
8.2	457.0
8.3	436.0
8.4	454.0
8.5	424.0
8.6	480.0
8.7	477.0
8.8	503.0
8.9	533.0
9.0	514.0
9.1	512.0
9.2	514.0
9.3	496.0
9.4	512.0
9.5	507.0
9.6	504.0
9.7	499.0
9.8	572.0
9.9	559.0
10.0	551.0
10.1	572.0
10.2	527.0
10.3	548.0
10.4	497.0
10.5	522.0
10.6	528.0
10.7	507.0
10.8	548.0
10.9	545.0
11.0	538.0
11.1	544.0
11.2	519.0
11.3	529.0
11.4	581.0
11.5	494.0
11.6	501.0
11.7	465.0
11.8	474.0
11.9	496.0
12.0	476.0
12.1	472.0
12.2	468.0
12.3	483.0
12.4	475.0
12.5	498.0
12.6	453.0
12.7	476.0
12.8	467.0
12.9	458.0
13.0	474.0
13.1	458.0
13.2	387.0
13.3	404.0
13.4	357.0
13.5	381.0
13.6	356.0
13.7	339.0
13.8	313.0
13.9	308.0
14.0	312.0
14.1	336.0
14.2	269.0
14.3	295.0
14.4	278.0
14.5	280.0
14.6	282.0
14.7	295.0
14.8	311.0
14.9	253.0
15.0	270.0
15.1	292.0
15.2	288.0
15.3	280.0
15.4	302.0
15.5	304.0
15.6	255.0
15.7	254.0
15.8	269.0
15.9	247.0
16.0	255.0
16.1	243.0
16.2	258.0
16.3	275.0
16.4	241.0
16.5	242.0
16.6	237.0
16.7	239.0
16.8	235.0
16.9	226.0
17.0	226.0
17.1	238.0
17.2	220.0
17.3	220.0
17.4	221.0
17.5	217.0
17.6	201.0
17.7	180.0
17.8	172.0
17.9	192.0
18.0	201.0
18.1	212.0
18.2	192.0
18.3	169.0
18.4	179.0
18.5	184.0
18.6	172.0
18.7	173.0
18.8	170.0
18.9	148.0
19.0	165.0
19.1	179.0
19.2	144.0
19.3	146.0
19.4	149.0
19.5	126.0
19.6	135.0
19.7	142.0
19.8	150.0
19.9	184.0
20.0	491.0
20.1	1426.0
20.2	2000.0
20.3	2047.0
20.4	1168.0
20.5	316.0
20.6	245.0
20.7	236.0
20.8	221.0
20.9	179.0
21.0	153.0
21.1	166.0
21.2	183.0
21.3	180.0
21.4	174.0
21.5	168.0
21.6	177.0
21.7	180.0
21.8	161.0
21.9	186.0
22.0	162.0
22.1	218.0
22.2	432.0
22.3	1190.0
22.4	5744.0
22.5	6665.0
22.6	5617.0
22.7	2714.0
22.8	754.0
22.9	230.0
23.0	179.0
23.1	153.0
23.2	127.0
23.3	130.0
23.4	132.0
23.5	118.0
23.6	125.0
23.7	113.0
23.8	114.0
23.9	120.0
24.0	98.0
24.1	113.0
24.2	87.0
24.3	123.0
24.4	100.0
24.5	94.0
24.6	90.0
24.7	96.0
24.8	99.0
24.9	88.0
25.0	92.0
