Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	MCS Internal
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.72
Upper Discriminator:	729
Lower Discriminator:	562
Calibration Coefficients:	0.7519999999999989	1.008
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	March 18, 2024, 09:48:22
End Time:	March 18, 2024, 10:05:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	561	728	45926	-3383	2	633

Channel Data:
Channel	Energy	Counts
320	320.0	1137
321	321.0	1123
322	322.0	1086
323	323.0	1122
324	324.0	1147
325	325.0	1120
326	326.0	1094
327	327.0	1072
328	328.0	1075
329	329.0	1072
330	330.0	1099
331	331.0	1003
332	332.0	1019
333	333.0	1094
334	334.0	1097
335	335.0	1132
336	336.0	1032
337	337.0	1058
338	338.0	1034
339	339.0	1001
340	340.0	1053
341	341.0	1001
342	342.0	1032
343	343.0	1050
344	344.0	1034
345	345.0	987
346	346.0	1004
347	347.0	973
348	348.0	1037
349	349.0	974
350	350.0	1055
351	351.0	1011
352	352.0	955
353	353.0	989
354	354.0	951
355	355.0	973
356	356.0	910
357	357.0	977
358	358.0	902
359	359.0	979
360	360.0	949
361	361.0	957
362	362.0	907
363	363.0	960
364	364.0	967
365	365.0	950
366	366.0	1005
367	367.0	910
368	368.0	910
369	369.0	954
370	370.0	956
371	371.0	928
372	372.0	912
373	373.0	898
374	374.0	832
375	375.0	912
376	376.0	890
377	377.0	894
378	378.0	905
379	379.0	874
380	380.0	897
381	381.0	828
382	382.0	837
383	383.0	854
384	384.0	867
385	385.0	889
386	386.0	848
387	387.0	869
388	388.0	844
389	389.0	788
390	390.0	835
391	391.0	801
392	392.0	798
393	393.0	874
394	394.0	841
395	395.0	800
396	396.0	791
397	397.0	780
398	398.0	793
399	399.0	772
400	400.0	815
401	401.0	822
402	402.0	801
403	403.0	798
404	404.0	785
405	405.0	769
406	406.0	763
407	407.0	738
408	408.0	757
409	409.0	754
410	410.0	751
411	411.0	750
412	412.0	731
413	413.0	752
414	414.0	765
415	415.0	708
416	416.0	745
417	417.0	709
418	418.0	779
419	419.0	673
420	420.0	724
421	421.0	764
422	422.0	734
423	423.0	719
424	424.0	698
425	425.0	710
426	426.0	694
427	427.0	680
428	428.0	682
429	429.0	656
430	430.0	715
431	431.0	654
432	432.0	697
433	433.0	693
434	434.0	686
435	435.0	692
436	436.0	683
437	437.0	673
438	438.0	675
439	439.0	674
440	440.0	639
441	441.0	668
442	442.0	672
443	443.0	635
444	444.0	631
445	445.0	652
446	446.0	631
447	447.0	623
448	448.0	655
449	449.0	662
450	450.0	630
451	451.0	620
452	452.0	649
453	453.0	650
454	454.0	654
455	455.0	630
456	456.0	602
457	457.0	589
458	458.0	621
459	459.0	599
460	460.0	590
461	461.0	606
462	462.0	602
463	463.0	627
464	464.0	646
465	465.0	588
466	466.0	564
467	467.0	572
468	468.0	556
469	469.0	610
470	470.0	576
471	471.0	597
472	472.0	549
473	473.0	590
474	474.0	574
475	475.0	548
476	476.0	565
477	477.0	560
478	478.0	547
479	479.0	514
480	480.0	589
481	481.0	570
482	482.0	532
483	483.0	576
484	484.0	548
485	485.0	541
486	486.0	545
487	487.0	551
488	488.0	546
489	489.0	538
490	490.0	513
491	491.0	559
492	492.0	525
493	493.0	537
494	494.0	514
495	495.0	519
496	496.0	519
497	497.0	494
498	498.0	494
499	499.0	506
500	500.0	537
501	501.0	543
502	502.0	489
503	503.0	502
504	504.0	492
505	505.0	504
506	506.0	494
507	507.0	488
508	508.0	513
509	509.0	455
510	510.0	526
511	511.0	441
512	512.0	477
513	513.0	473
514	514.0	456
515	515.0	477
516	516.0	486
517	517.0	445
518	518.0	473
519	519.0	465
520	520.0	498
521	521.0	456
522	522.0	461
523	523.0	497
524	524.0	464
525	525.0	447
526	526.0	460
527	527.0	447
528	528.0	423
529	529.0	488
530	530.0	466
531	531.0	427
532	532.0	424
533	533.0	443
534	534.0	482
535	535.0	437
536	536.0	428
537	537.0	434
538	538.0	412
539	539.0	412
540	540.0	403
541	541.0	429
542	542.0	421
543	543.0	434
544	544.0	422
545	545.0	388
546	546.0	390
547	547.0	404
548	548.0	412
549	549.0	425
550	550.0	379
551	551.0	401
552	552.0	378
553	553.0	403
554	554.0	374
555	555.0	407
556	556.0	414
557	557.0	406
558	558.0	387
559	559.0	386
560	560.0	372
561	561.0	395
562	562.0	434
563	563.0	328
564	564.0	401
565	565.0	414
566	566.0	392
567	567.0	384
568	568.0	372
569	569.0	403
