Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.73
Upper Discriminator:	1051
Lower Discriminator:	12
Calibration Coefficients:	-1.1578947368421026	1.0047846889952152
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	1533.81
Elapsed Live Time:	1482.61
Start Time:	March 06, 2024, 10:04:16
End Time:	March 06, 2024, 10:29:45
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-1.1578947368421026	1
1	-0.15311004784688742	0
2	0.8516746411483278	0
3	1.8564593301435428	0
4	2.8612440191387583	1
5	3.8660287081339737	2
6	4.870813397129188	4
7	5.875598086124404	14
8	6.880382775119619	23
9	7.885167464114835	17
10	8.88995215311005	21
11	9.894736842105265	22
12	10.89952153110048	22
13	11.904306220095695	32
14	12.90909090909091	26
15	13.913875598086126	1463
16	14.918660287081341	4876
17	15.923444976076556	5354
18	16.928229665071772	5624
19	17.933014354066987	5911
20	18.937799043062203	6266
21	19.942583732057418	6519
22	20.947368421052634	7123
23	21.95215311004785	7730
24	22.95693779904306	9126
25	23.961722488038276	11929
26	24.966507177033492	17378
27	25.971291866028707	26519
28	26.976076555023923	40224
29	27.980861244019138	55840
30	28.985645933014354	67829
31	29.99043062200957	73929
32	30.995215311004785	71137
33	32.0	62301
34	33.004784688995215	49605
35	34.00956937799043	39197
36	35.014354066985646	30636
37	36.01913875598086	24760
38	37.02392344497608	20319
39	38.02870813397129	17115
40	39.03349282296651	14055
41	40.038277511961724	11630
42	41.04306220095694	9825
43	42.047846889952154	8317
44	43.05263157894737	7443
45	44.057416267942585	6659
46	45.0622009569378	6293
47	46.066985645933016	6257
48	47.071770334928225	6110
49	48.07655502392344	6077
50	49.081339712918655	6003
51	50.08612440191387	6084
52	51.090909090909086	5946
53	52.0956937799043	6054
54	53.10047846889952	6020
55	54.10526315789473	5933
56	55.11004784688995	6125
57	56.114832535885164	6190
58	57.11961722488038	6006
